                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.73299,                0.39781,                 0.8978,                0.98579,                0.99313,                0.99266,                0.79708,                0.83554,                0.37525,                 0.9277,               0.001439,               0.001439,               0.001439
                     87,                0.73999,                 0.4042,                0.90779,                0.97775,                 0.9885,                0.99256,                0.77781,                0.90514,                0.40502,                0.94792,              0.0014324,              0.0014324,              0.0014324
                     88,                0.72978,                 0.3992,                0.90227,                0.98553,                0.98569,                0.99365,                0.79434,                0.83264,                0.38034,                0.92652,              0.0014258,              0.0014258,              0.0014258
                     89,                0.72184,                 0.3916,                0.90078,                0.98153,                0.98978,                0.99178,                0.78542,                0.87834,                 0.3901,                 0.9371,              0.0014192,              0.0014192,              0.0014192
                     90,                0.73432,                0.39284,                0.90282,                0.98766,                0.98202,                0.99278,                0.78715,                0.83725,                0.37882,                0.92882,              0.0014126,              0.0014126,              0.0014126
                     91,                 0.7148,                0.39229,                0.89937,                0.94057,                0.91411,                0.97206,                0.59839,                  1.383,                0.60632,                 1.2057,               0.001406,               0.001406,               0.001406
                     92,                0.71804,                0.39357,                0.90093,                0.98221,                0.98978,                0.99192,                0.80142,                  0.836,                0.37552,                0.93295,              0.0013994,              0.0013994,              0.0013994
                     93,                0.71071,                0.38754,                0.90041,                0.98706,                0.98569,                0.99116,                0.79597,                0.83157,                0.36791,                0.92672,              0.0013928,              0.0013928,              0.0013928
                     94,                0.70118,                0.38588,                0.89537,                0.98366,                0.98476,                0.99174,                0.78792,                0.86217,                0.38034,                0.93608,              0.0013862,              0.0013862,              0.0013862
                     95,                0.70537,                0.38658,                0.89898,                0.97757,                0.98027,                0.99084,                0.79363,                0.83587,                0.37526,                 0.9323,              0.0013796,              0.0013796,              0.0013796
                     96,                0.71974,                0.38846,                0.89899,                0.98012,                0.98364,                0.99147,                0.78291,                0.84959,                 0.3877,                0.93178,               0.001373,               0.001373,               0.001373
                     97,                0.71014,                 0.3849,                0.89742,                0.99321,                0.98569,                0.99246,                0.81152,                0.82033,                0.36136,                0.91803,              0.0013664,              0.0013664,              0.0013664
                     98,                0.70239,                 0.3828,                0.89575,                0.98975,                0.98724,                0.99263,                0.79688,                0.84587,                0.37253,                0.92699,              0.0013598,              0.0013598,              0.0013598
                     99,                0.70129,                 0.3823,                0.89532,                0.99174,                  0.982,                0.99066,                0.81208,                0.81141,                0.36688,                0.91965,              0.0013532,              0.0013532,              0.0013532
                    100,                0.72077,                0.38546,                0.89994,                0.98362,                0.98249,                0.99077,                0.77817,                0.84269,                0.37537,                0.92838,              0.0013466,              0.0013466,              0.0013466
                    101,                0.70093,                0.38424,                 0.8955,                0.98373,                0.98896,                0.99151,                0.80006,                0.81677,                0.36669,                0.91854,                0.00134,                0.00134,                0.00134
                    102,                0.70859,                 0.3851,                0.89724,                0.98551,                0.98569,                0.98861,                0.80513,                0.82716,                0.36701,                 0.9266,              0.0013334,              0.0013334,              0.0013334
                    103,                0.71091,                0.38423,                0.89823,                0.98563,                0.98186,                0.99183,                0.79925,                0.83482,                0.37382,                0.92372,              0.0013268,              0.0013268,              0.0013268
                    104,                0.69991,                0.37995,                0.89221,                0.98702,                0.98773,                0.99323,                0.79537,                0.81276,                0.36576,                0.92428,              0.0013202,              0.0013202,              0.0013202
                    105,                0.70531,                0.38051,                0.89117,                0.98887,                0.98978,                 0.9915,                0.79642,                0.83592,                0.36401,                0.93118,              0.0013136,              0.0013136,              0.0013136
                    106,                0.68651,                0.37615,                0.89153,                0.98578,                0.99207,                0.99207,                0.80699,                0.81275,                0.36598,                0.91958,               0.001307,               0.001307,               0.001307
                    107,                0.71329,                0.38338,                0.89794,                0.98453,                0.98364,                 0.9921,                0.79562,                0.82961,                0.37441,                0.92145,              0.0013004,              0.0013004,              0.0013004
                    108,                0.68778,                0.37635,                0.89137,                0.98528,                0.98773,                0.99129,                0.72212,                 1.0112,                 0.4145,                0.99253,              0.0012938,              0.0012938,              0.0012938
                    109,                0.70704,                0.38579,                0.89338,                0.98771,                0.98628,                0.99274,                0.77938,                0.88179,                0.38324,                0.94783,              0.0012872,              0.0012872,              0.0012872
                    110,                0.68427,                0.37442,                0.88909,                0.98773,                0.98773,                0.99208,                0.80839,                0.82213,                0.36334,                0.91618,              0.0012806,              0.0012806,              0.0012806
                    111,                0.68454,                0.37054,                0.89076,                0.98872,                0.98569,                0.99225,                0.79253,                0.82503,                0.36403,                0.92338,               0.001274,               0.001274,               0.001274
                    112,                0.67785,                0.36671,                0.88544,                0.98975,                0.98685,                0.99235,                0.81668,                0.80264,                0.35443,                 0.9181,              0.0012674,              0.0012674,              0.0012674
                    113,                0.69285,                0.37704,                0.89036,                0.98425,                0.98978,                0.99078,                0.81184,                0.80762,                0.36127,                0.91652,              0.0012608,              0.0012608,              0.0012608
                    114,                0.68558,                0.37237,                0.89197,                0.98847,                0.98364,                0.99242,                0.78111,                0.86723,                0.37565,                0.94254,              0.0012542,              0.0012542,              0.0012542
                    115,                 0.6779,                0.37419,                0.88324,                0.98799,                0.98569,                0.99151,                0.80834,                0.78918,                0.36014,                0.90975,              0.0012476,              0.0012476,              0.0012476
                    116,                0.68759,                0.37145,                0.88965,                0.99179,                0.98762,                0.99217,                0.80935,                0.79576,                0.35432,                0.90666,               0.001241,               0.001241,               0.001241
                    117,                0.67477,                0.36539,                0.88446,                0.98376,                 0.9913,                0.99219,                0.79468,                0.80424,                0.36453,                0.91409,              0.0012344,              0.0012344,              0.0012344
                    118,                0.67644,                0.36864,                0.88643,                 0.9897,                0.98216,                0.99245,                0.81323,                0.82801,                0.36081,                0.92153,              0.0012278,              0.0012278,              0.0012278
                    119,                0.67411,                0.37096,                0.88904,                0.99168,                 0.9746,                0.99263,                0.76177,                0.94766,                 0.3843,                0.97299,              0.0012212,              0.0012212,              0.0012212
                    120,                0.68102,                0.37006,                0.88914,                0.98912,                0.98773,                0.99298,                0.79507,                0.83084,                0.36206,                0.92425,              0.0012146,              0.0012146,              0.0012146
                    121,                0.67389,                0.36752,                0.88299,                0.98356,                0.98773,                0.99175,                0.80643,                0.80236,                0.36528,                0.91973,               0.001208,               0.001208,               0.001208
                    122,                0.66603,                0.36131,                0.88279,                0.99176,                0.98395,                 0.9924,                0.80106,                0.83962,                0.36059,                0.93147,              0.0012014,              0.0012014,              0.0012014
                    123,                0.67252,                0.36392,                  0.885,                0.99383,                0.98899,                0.99144,                0.82095,                0.77736,                 0.3465,                0.90956,              0.0011948,              0.0011948,              0.0011948
                    124,                0.66395,                0.36002,                0.88503,                0.98641,                0.98364,                0.99182,                0.78801,                0.82806,                0.36037,                0.92148,              0.0011882,              0.0011882,              0.0011882
                    125,                0.65568,                0.36043,                0.88178,                 0.9929,                0.98569,                0.99031,                0.81037,                0.80945,                0.35301,                0.91986,              0.0011816,              0.0011816,              0.0011816
                    126,                0.65869,                0.36304,                 0.8849,                0.98354,                0.97731,                0.99138,                0.76789,                0.92742,                0.39021,                0.95932,               0.001175,               0.001175,               0.001175
                    127,                0.67174,                0.36301,                0.88417,                0.98751,                0.97342,                0.99215,                0.74826,                0.97109,                0.40762,                  0.994,              0.0011684,              0.0011684,              0.0011684
                    128,                0.68428,                0.36602,                 0.8883,                0.99178,                0.98668,                0.99167,                0.81266,                0.80085,                0.35722,                0.91116,              0.0011618,              0.0011618,              0.0011618
                    129,                0.66138,                0.36173,                0.88369,                0.98937,                0.98569,                0.99177,                 0.8023,                0.80316,                0.34505,                0.91967,              0.0011552,              0.0011552,              0.0011552
                    130,                0.66897,                0.36112,                0.88502,                0.99176,                0.98496,                0.99233,                0.81208,                0.79803,                0.34686,                0.91535,              0.0011486,              0.0011486,              0.0011486
                    131,                 0.6437,                0.35359,                0.87685,                 0.9889,                0.98569,                0.99233,                0.80944,                0.77905,                0.34715,                0.90833,               0.001142,               0.001142,               0.001142
                    132,                0.65446,                0.35366,                0.87582,                0.99035,                0.98773,                0.99144,                0.79824,                0.81747,                0.35363,                0.92326,              0.0011354,              0.0011354,              0.0011354
                    133,                0.65741,                0.35882,                0.88457,                0.99177,                0.98557,                 0.9923,                0.80838,                0.80419,                0.35046,                0.91993,              0.0011288,              0.0011288,              0.0011288
                    134,                0.64457,                 0.3529,                0.88026,                0.98567,                0.98493,                0.99159,                0.81221,                0.79908,                0.34201,                0.92254,              0.0011222,              0.0011222,              0.0011222
                    135,                0.64265,                0.35203,                0.87803,                0.98583,                0.99796,                0.99334,                0.81214,                0.79578,                0.34932,                0.91318,              0.0011156,              0.0011156,              0.0011156
                    136,                0.66108,                0.35562,                0.88165,                0.98235,                0.99182,                0.99219,                0.80646,                0.81598,                0.35149,                0.92299,               0.001109,               0.001109,               0.001109
                    137,                0.64337,                0.35191,                0.87835,                0.98946,                0.98569,                0.99229,                0.81686,                0.77964,                0.34057,                0.90886,              0.0011024,              0.0011024,              0.0011024
                    138,                0.65811,                0.35816,                0.87786,                0.98971,                0.98298,                0.99124,                0.80171,                0.81785,                0.35932,                0.92566,              0.0010958,              0.0010958,              0.0010958
                    139,                0.66743,                  0.357,                0.88235,                0.98127,                0.99387,                0.99197,                0.80146,                0.83543,                0.35013,                0.93137,              0.0010892,              0.0010892,              0.0010892
                    140,                0.65814,                0.35975,                0.88151,                0.98878,                0.98569,                0.99238,                0.81893,                0.78399,                 0.3465,                0.91306,              0.0010826,              0.0010826,              0.0010826
                    141,                0.65513,                0.35223,                0.87639,                0.99119,                0.98569,                0.99079,                0.82302,                0.78681,                0.34143,                0.91287,               0.001076,               0.001076,               0.001076
                    142,                0.64398,                0.34253,                0.87503,                0.99182,                0.99131,                0.99186,                0.82637,                0.77536,                0.33631,                0.91056,              0.0010694,              0.0010694,              0.0010694
                    143,                0.63091,                0.34314,                0.87315,                0.98359,                0.99591,                0.99251,                0.82386,                0.78545,                0.34309,                  0.913,              0.0010628,              0.0010628,              0.0010628
                    144,                0.63229,                0.34632,                0.86999,                 0.9911,                0.98364,                0.99111,                0.81419,                0.78433,                 0.3403,                0.90786,              0.0010562,              0.0010562,              0.0010562
                    145,                0.63936,                0.34822,                0.87502,                0.98774,                0.98823,                0.99197,                0.78163,                0.87626,                0.36425,                 0.9508,              0.0010496,              0.0010496,              0.0010496
                    146,                0.63484,                0.34508,                0.87553,                0.98339,                0.99387,                0.99029,                0.81992,                0.78968,                 0.3478,                0.91527,               0.001043,               0.001043,               0.001043
                    147,                 0.6501,                0.34911,                0.87619,                0.98565,                0.99591,                0.99135,                0.81505,                0.78278,                 0.3471,                0.91661,              0.0010364,              0.0010364,              0.0010364
                    148,                0.62165,                0.34087,                0.87341,                0.98777,                0.99094,                0.99168,                0.82213,                0.78388,                0.33761,                0.90612,              0.0010298,              0.0010298,              0.0010298
                    149,                0.62562,                0.34186,                0.87254,                0.98978,                0.99028,                 0.9923,                0.81964,                0.77002,                0.34039,                0.90574,              0.0010232,              0.0010232,              0.0010232
                    150,                0.64261,                0.34578,                0.87767,                0.98567,                0.99591,                0.99299,                0.81801,                0.77018,                0.33888,                 0.9066,              0.0010166,              0.0010166,              0.0010166
                    151,                0.63249,                0.34308,                 0.8729,                0.99294,                0.99591,                0.99245,                0.82666,                0.75186,                0.33229,                0.90508,                0.00101,                0.00101,                0.00101
                    152,                0.63634,                0.34401,                0.87693,                0.99383,                0.98761,                0.99252,                0.80698,                0.78847,                0.33692,                0.91186,              0.0010034,              0.0010034,              0.0010034
                    153,                0.64262,                0.34709,                 0.8728,                0.99388,                0.99697,                 0.9927,                0.81332,                0.76967,                0.33895,                0.90177,              0.0009968,              0.0009968,              0.0009968
