                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.81308,                0.41631,                0.89157,                0.98002,                 0.9841,                 0.9897,                0.82276,                0.85569,                0.38526,                0.90861,             0.00041275,             0.00041275,             0.00041275
                     78,                0.80267,                0.40999,                0.89105,                0.97456,                0.98629,                0.99207,                0.83058,                0.83999,                0.38845,                0.90434,             0.00039625,             0.00039625,             0.00039625
                     79,                 0.8203,                0.41618,                0.89607,                0.97778,                0.97885,                0.99196,                0.82917,                0.85476,                0.38992,                 0.9076,             0.00037974,             0.00037974,             0.00037974
                     80,                0.80604,                0.40854,                0.89072,                0.98091,                0.98808,                0.99042,                0.83243,                0.85746,                0.38606,                0.90707,             0.00036324,             0.00036324,             0.00036324
                     81,                0.80156,                0.40626,                0.88669,                0.97709,                0.98649,                0.98914,                0.83392,                0.81799,                0.38287,                0.89456,             0.00034674,             0.00034674,             0.00034674
                     82,                0.81449,                0.40786,                0.89337,                 0.9752,                0.98967,                0.99158,                0.82242,                0.85207,                0.37923,                0.90404,             0.00033023,             0.00033023,             0.00033023
                     83,                 0.8102,                0.40742,                0.89097,                0.97515,                0.98962,                0.99068,                0.82566,                0.83688,                0.37655,                0.90394,             0.00031373,             0.00031373,             0.00031373
                     84,                0.82031,                0.41722,                0.89596,                0.97243,                0.98488,                0.99094,                 0.8329,                0.82805,                 0.3788,                0.90099,             0.00029723,             0.00029723,             0.00029723
                     85,                0.80359,                 0.4057,                0.88906,                0.97542,                  0.986,                0.98874,                 0.8251,                0.83639,                0.37416,                0.90169,             0.00028072,             0.00028072,             0.00028072
                     86,                0.79211,                0.40191,                0.88863,                0.97231,                0.98719,                0.98861,                0.82558,                0.83482,                 0.3763,                0.90164,             0.00026422,             0.00026422,             0.00026422
                     87,                0.79441,                0.39857,                0.88828,                 0.9794,                0.98655,                0.98895,                0.82476,                0.83624,                0.37518,                0.89971,             0.00024772,             0.00024772,             0.00024772
                     88,                0.80156,                 0.3983,                0.88784,                0.97333,                0.98808,                0.99224,                0.83366,                0.81735,                 0.3699,                0.89393,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.7718,                0.38955,                0.88231,                0.97865,                0.98819,                0.98924,                0.83097,                 0.8283,                0.37266,                0.89863,             0.00021471,             0.00021471,             0.00021471
                     90,                0.79477,                0.39813,                0.88673,                0.98093,                0.98967,                0.99231,                0.82994,                0.82981,                0.36899,                0.89924,             0.00019821,             0.00019821,             0.00019821
                     91,                0.79218,                0.39306,                0.88501,                0.97946,                0.98887,                0.99061,                0.83436,                0.81629,                0.36595,                0.89474,              0.0001817,              0.0001817,              0.0001817
                     92,                0.76968,                0.38978,                0.88269,                0.97471,                0.98571,                0.99109,                0.82953,                0.82545,                0.36805,                0.89707,              0.0001652,              0.0001652,              0.0001652
                     93,                0.78706,                0.39016,                0.88549,                0.97543,                0.98967,                 0.9922,                0.82861,                0.83428,                0.37003,                0.89821,              0.0001487,              0.0001487,              0.0001487
                     94,                0.77852,                0.38931,                0.88568,                0.97501,                0.98967,                 0.9876,                0.83139,                0.82686,                0.36443,                0.89658,             0.00013219,             0.00013219,             0.00013219
                     95,                0.77048,                0.38474,                0.87756,                0.97535,                0.98887,                0.98951,                0.83717,                0.81786,                0.36297,                0.89447,             0.00011569,             0.00011569,             0.00011569
                     96,                0.77273,                0.38581,                0.88694,                0.97579,                0.98783,                0.98999,                  0.834,                0.81235,                0.35908,                0.89281,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.76457,                0.38443,                0.88458,                0.97667,                0.98835,                0.99099,                0.83829,                0.81176,                0.35911,                0.89326,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.75555,                 0.3771,                0.88052,                0.97648,                0.98743,                0.99078,                0.83063,                0.81636,                0.36073,                0.89456,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.76105,                0.37907,                0.87743,                0.97932,                0.98474,                0.99061,                0.83211,                0.81364,                0.35924,                0.89276,             4.9677e-05,             4.9677e-05,             4.9677e-05
